,DATA,EQUIPE CASA,PLACAR CASA,PLACAR VISITANTE,EQUIPE VISITANTE,VENCEDOR,RODADA,FASE,GINASIO,TEMPORADA
212,2024-12-02 16:00:00,Pato Basquete,49,87,Paulistano,Paulistano,18,2º TURNO,ASCEB,2020-21
213,2024-12-02 19:00:00,KTO/Caxias do Sul,77,71,Sesi Franca,KTO/Caxias do Sul,18,2º TURNO,ASCEB,2020-21
214,2024-12-03 11:00:00,BRB/Brasília,89,79,VipTech CMB,BRB/Brasília,18,2º TURNO,ASCEB,2020-21
215,2024-12-03 16:00:00,Corinthians,78,85,São Paulo,São Paulo,18,2º TURNO,ASCEB,2020-21
216,2024-12-03 19:00:00,Bauru,98,97,Fortaleza B. C.,Bauru,17,2º TURNO,ASCEB,2020-21
217,2024-12-04 13:00:00,Minas,93,61,Pinheiros,Minas,18,2º TURNO,ASCEB,2020-21
218,2024-12-04 16:00:00,Pato Basquete,73,62,Mogi,Pato Basquete,18,2º TURNO,ASCEB,2020-21
219,2024-12-04 19:00:00,Sesi Franca,93,81,Cerrado Basquete,Sesi Franca,18,2º TURNO,ASCEB,2020-21
220,2024-12-05 14:00:00,Paulistano,70,66,BRB/Brasília,Paulistano,17,2º TURNO,ASCEB,2020-21
221,2024-12-05 16:45:00,Corinthians,93,79,UNIFACISA,Corinthians,18,2º TURNO,ASCEB,2020-21
222,2024-12-05 19:30:00,KTO/Caxias do Sul,58,77,Flamengo,Flamengo,18,2º TURNO,ASCEB,2020-21
223,2024-12-06 14:00:00,VipTech CMB,74,99,São Paulo,São Paulo,18,2º TURNO,ASCEB,2020-21
224,2024-12-06 16:45:00,Fortaleza B. C.,84,69,Sesi Franca,Fortaleza B. C.,18,2º TURNO,ASCEB,2020-21
225,2024-12-06 19:30:00,Minas,81,79,Bauru,Minas,17,2º TURNO,ASCEB,2020-21
226,2024-12-07 14:00:00,KTO/Caxias do Sul,83,85,Pato Basquete,Pato Basquete,17,2º TURNO,ASCEB,2020-21
227,2024-12-07 16:45:00,Pinheiros,47,69,Paulistano,Paulistano,19,2º TURNO,ASCEB,2020-21
228,2024-12-07 19:30:00,Flamengo,88,57,Cerrado Basquete,Flamengo,18,2º TURNO,ASCEB,2020-21
229,2024-12-08 13:00:00,Mogi,97,77,BRB/Brasília,Mogi,18,2º TURNO,ASCEB,2020-21
230,2024-12-08 16:00:00,UNIFACISA,72,88,Bauru,Bauru,18,2º TURNO,ASCEB,2020-21
231,2024-12-08 19:00:00,VipTech CMB,74,86,Corinthians,Corinthians,19,2º TURNO,ASCEB,2020-21
232,2024-12-09 16:00:00,Cerrado Basquete,63,71,Pinheiros,Pinheiros,17,2º TURNO,ASCEB,2020-21
233,2024-12-10 12:00:00,UNIFACISA,99,80,Pato Basquete,UNIFACISA,18,2º TURNO,ASCEB,2020-21
234,2024-12-10 16:00:00,Bauru,82,91,Mogi,Mogi,19,2º TURNO,ASCEB,2020-21
235,2024-12-10 19:00:00,Fortaleza B. C.,83,84,VipTech CMB,VipTech CMB,18,2º TURNO,ASCEB,2020-21
236,2024-12-11 11:00:00,Cerrado Basquete,67,75,Paulistano,Paulistano,18,2º TURNO,ASCEB,2020-21
237,2024-12-13 14:00:00,Pinheiros,84,75,VipTech CMB,Pinheiros,17,2º TURNO,ASCEB,2020-21
238,2024-12-13 16:45:00,Bauru,81,69,Cerrado Basquete,Bauru,17,2º TURNO,ASCEB,2020-21
239,2024-12-13 19:30:00,Fortaleza B. C.,92,97,Paulistano,Paulistano,17,2º TURNO,ASCEB,2020-21
240,2024-12-21 16:00:00,KTO/Caxias do Sul,65,75,Bauru,Bauru,1,OITAVAS,Ginásio do Maracanazinho,2020-21
241,2024-12-21 19:00:00,UNIFACISA,70,77,Mogi,Mogi,1,OITAVAS,Ginásio do Maracanazinho,2020-21
242,2024-12-22 17:00:00,Fortaleza B. C.,64,82,Sesi Franca,Sesi Franca,1,OITAVAS,Arena UniBH,2020-21
243,2024-12-22 20:00:00,Pato Basquete,61,90,Corinthians,Corinthians,1,OITAVAS,Arena UniBH,2020-21
244,2024-12-23 17:00:00,Bauru,74,73,KTO/Caxias do Sul,Bauru,2,OITAVAS,Ginásio do Maracanazinho,2020-21
245,2024-12-23 20:00:00,Mogi,84,95,UNIFACISA,UNIFACISA,2,OITAVAS,Ginásio do Maracanazinho,2020-21
246,2024-12-24 16:00:00,Corinthians,89,84,Pato Basquete,Corinthians,2,OITAVAS,Arena UniBH,2020-21
247,2024-12-24 19:00:00,Sesi Franca,82,58,Fortaleza B. C.,Sesi Franca,2,OITAVAS,Arena UniBH,2020-21
248,2024-12-25 14:00:00,Mogi,94,85,UNIFACISA,Mogi,3,OITAVAS,Maracanãzinho,2020-21
249,2024-12-28 17:00:00,Mogi,79,09,Flamengo,Mogi,1,QUARTAS,Maracanãzinho,2020-21
250,2024-12-28 20:00:00,Bauru,66,78,Paulistano,Paulistano,1,QUARTAS,Maracanãzinho,2020-21
251,2024-12-29 17:00:00,Corinthians,71,78,São Paulo,São Paulo,1,QUARTAS,Arena UniBH,2020-21
252,2024-12-29 20:00:00,Sesi Franca,85,91,Minas,Minas,1,QUARTAS,Arena UniBH,2020-21
253,2024-12-30 17:00:00,Paulistano,77,87,Bauru,Bauru,2,QUARTAS,Maracanãzinho,2020-21
254,2024-12-30 20:00:00,Flamengo,77,67,Mogi,Flamengo,2,QUARTAS,Maracanãzinho,2020-21
255,2025-01-01 16:00:00,São Paulo,79,68,Corinthians,São Paulo,2,QUARTAS,Arena UniBH,2020-21
256,2025-01-01 20:00:00,Minas,72,82,Sesi Franca,Sesi Franca,2,QUARTAS,Arena UniBH,2020-21
257,2025-01-02 11:00:00,Paulistano,78,65,Bauru,Paulistano,3,QUARTAS,Maracanãzinho,2020-21
258,2025-01-03 20:00:00,Minas,93,68,Sesi Franca,Minas,3,QUARTAS,Arena UniBH,2020-21
259,2025-01-10 18:00:00,Minas,70,88,São Paulo,São Paulo,1,SEMI,Maracanãzinho,2020-21
260,2025-01-10 20:45:00,Flamengo,92,69,Paulistano,Flamengo,1,SEMI,Maracanãzinho,2020-21
261,2025-01-12 18:00:00,São Paulo,90,85,Minas,São Paulo,2,SEMI,Maracanãzinho,2020-21
262,2025-01-12 20:45:00,Paulistano,75,81,Flamengo,Flamengo,2,SEMI,Maracanãzinho,2020-21
263,2025-01-15 15:15:00,Paulistano,58,69,Flamengo,Flamengo,3,SEMI,Maracanãzinho,2020-21
264,2025-01-15 18:00:00,São Paulo,80,79,Minas,São Paulo,3,SEMI,Maracanãzinho,2020-21
265,2025-01-22 16:00:00,Flamengo,96,93,São Paulo,Flamengo,1,FINAL,Maracanãzinho,2020-21
266,2025-01-24 20:00:00,São Paulo,81,82,Flamengo,Flamengo,2,FINAL,Maracanãzinho,2020-21
267,2025-01-27 18:30:00,São Paulo,85,93,Flamengo,Flamengo,3,FINAL,Maracanãzinho,2020-21
